name,kind,units,equation,vensim_comment,views,inputs,outputs,n_inputs,n_outputs,priority,purpose,logic,assumption,source,calibration,interpretation,status,suggested_priority,suggested_reason,needs_source,needs_assumption
Reference Total Innovation Potential,auxiliary,Dmnl,INITIAL(Total Urban Innovation Potential),Referenzwert des gesamten Innovationspotenzials zu Beginn der Simulation. Dieser Wert dient zur Normalisierung des späteren Innovationsindex.,11_Innovation_and_City_Size,Total Urban Innovation Potential,Innovation Index,1,1,high,Speichert das anfängliche gesamte Innovationspotenzial als Referenzwert.,Der Initialwert von Total Urban Innovation Potential wird fixiert und dient als Nenner für den Innovation Index.,Das Startjahr ist ein sinnvoller Normalisierungspunkt; absolute Einheiten des Innovationspotenzials werden dadurch nicht benötigt.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,"Keine direkte externe Kalibrierung nötig; ergibt sich aus Initialwerten, Stadtgrössenanteilen und Scaling-Exponenten.",Ein stabiler Referenzwert macht die Innovationswirkung in anderen Modellteilen als dimensionslosen Index nutzbar.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Total Urban Innovation Potential,auxiliary,Dmnl,Innovation Large + Innovation Medium + Innovation Small + Innovation very Large,Aggregiertes Innovationspotenzial aller Stadtgrössenklassen. Der Wert ergibt sich aus der Summe der klassenspezifischen Innovationsbeiträge.,11_Innovation_and_City_Size,Innovation Large; Innovation Medium; Innovation Small; Innovation very Large,Innovation Index; Reference Total Innovation Potential,4,2,high,Aggregiert das modellierte Innovationspotenzial aller Stadtgrössenklassen.,"Summe aus Innovation Small, Innovation Medium, Innovation Large und Innovation very Large.",Das urbane Innovationspotenzial kann als Summe klassenspezifischer Urban-Scaling-Beiträge approximiert werden.,Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,"Wird durch Stadtgrössenanteile, repräsentative Stadtgrössen und Exponenten bestimmt. Keine einzelne beobachtete Zahl, sondern modellierter Indexbaustein.",Höhere Werte deuten auf ein höheres theoretisches Innovationspotenzial des gesamten urbanen Systems hin.,draft,high,zentrale Variable aus empfohlener Startliste; stark vernetzt,False,False
Urban Land Gap,auxiliary,km2,"MAX(0, Desired Urban Land Total - Urban Land)","Urban Land Gap
 
 Differenz zwischen gewünschter und aktuell vorhandener urbaner Fläche.
 
 Die MAX-Funktion verhindert negative Werte. Wenn die aktuelle
 urbane Fläche bereits grösser ist als die gewünschte Fläche,
 entsteht kein zusätzlicher Umwandlungsdruck.",09_Urban_Land_Conversion_Logic,Desired Urban Land; Desired Urban Land Total; Urban Land,AMM Consistent Economic Land Conversion Demand,3,1,high,Misst die Lücke zwischen gewünschter und aktuell vorhandener urbaner Fläche.,"MAX(0, Desired Urban Land Total - Urban Land) verhindert negative Umwandlungsnachfrage.",Nur zusätzlicher Flächenbedarf erzeugt Umwandlungsdruck; Überschussfläche führt nicht zu aktiver Schrumpfung.,"Alonso (1964), Muth (1969), Mills (1967); Mills URL: https://www.jstor.org/stable/1821621; Muth URL: https://www.cambridge.org/core/journals/recherches-economiques-de-louvain-louvain-economic-review/article/rf-muth-cities-and-housing-the-spatial-pattern-of-urban-residential-land-use-chicago-and-london-the-university-of-chicago-press-1969-xxii-p-355-p-90/0AA8AA64AD2123A62CED306A63423327",Keine externe Zahl; ergibt sich endogen aus gewünschter und aktueller Fläche.,Zentrale Brückenvariable zwischen Wohnflächennachfrage und Land Conversion Rate.,draft,high,zentrale Variable aus empfohlener Startliste,False,False
Land Conversion Time Minimum,constant,Year,1,Minimal zulässige Anpassungszeit der Landumwandlung. Der Parameter verhindert unrealistisch schnelle oder numerisch instabile Landkonversion.,Macro_Ebene,,Max Feasible Conversion,0,1,high,Setzt eine minimale Anpassungszeit für Landumwandlung.,Der Parameter begrenzt die maximale jährliche Umwandlung als Aggricultural Land / Minimum Time.,Ein Mindestwert verhindert unrealistisch schnelle oder numerisch instabile Konversion.,Eigene numerische Modellannahme.,"Aktueller Wert 1 Year ist eine technische Mindestannahme, nicht empirisch belegt. Als Sensitivität 1–5 Jahre testen.",Kleiner Wert erlaubt schnelle Umwandlung; grosser Wert begrenzt Land Conversion stärker.,draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,False
Land per Capita,constant,km2/Person,0.0003,Angenommener urbaner Flächenbedarf pro Person. Der Wert sollte konsistent mit der angenommenen Urban Population Density gewählt werden.,05_AMM_Budget_and_Housing_Demand,,Land per Household,0,1,high,Beschreibt den angenommenen urbanen Flächenbedarf pro Person.,Kann als Kehrwert einer angenommenen Urban Population Density interpretiert werden.,Die Flächenannahme muss konsistent mit der Dichteannahme sein.,EU-OECD FUA/urban-centre definition: https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/12/the-eu-oecd-definition-of-a-functional-urban-area_cef4a128/d58cb34d-en.pdf,"Aktuell 0.0003 km2/Person entspricht ca. 3333 Person/km2. Wenn Urban Population Density = 1500 Person/km2 genutzt wird, sollte Land per Capita auf 0.000667 km2/Person korrigiert werden.",Höherer Wert bedeutet mehr Flächenbedarf pro Person und erhöht Urbanisierungsdruck.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Share Large City,constant,Dmnl,0.26,Anteil der urbanen Bevölkerung in grossen Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.,11_Innovation_and_City_Size,,Equivalent Number of Large Cities,0,1,high,Verteilt einen Anteil der urbanen Gesamtbevölkerung auf grosse Städte.,Der Anteil fliesst in die Berechnung der äquivalenten Anzahl Städte dieser Klasse ein.,Die Stadtgrössenverteilung wird stark vereinfacht in vier Klassen abgebildet; die Summe der Anteile sollte 1 ergeben.,OECD city-size classes: https://www.oecd.org/en/data/indicators/urban-population-by-city-size.html,Aktueller/empfohlener POC-Wert: 0.26. Die 0.26 ist eine POC-Näherung. Final besser aus OECD/FUA-Bevölkerungsdaten berechnen.,Höhere Anteile grosser und sehr grosser Städte erhöhen wegen superlinearer Skalierung das gesamte Innovationspotenzial.,draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
Share Medium City,constant,Dmnl,0.2,Anteil der urbanen Bevölkerung in mittleren Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.,11_Innovation_and_City_Size,,Equivalent Number of Medium Cities,0,1,high,Verteilt einen Anteil der urbanen Gesamtbevölkerung auf mittlere Städte.,Der Anteil fliesst in die Berechnung der äquivalenten Anzahl Städte dieser Klasse ein.,Die Stadtgrössenverteilung wird stark vereinfacht in vier Klassen abgebildet; die Summe der Anteile sollte 1 ergeben.,OECD city-size classes: https://www.oecd.org/en/data/indicators/urban-population-by-city-size.html,Aktueller/empfohlener POC-Wert: 0.20. Die 0.20 ist eine POC-Näherung zwischen OECD-Klassen. Final besser aus OECD/FUA-Bevölkerungsdaten berechnen.,Höhere Anteile grosser und sehr grosser Städte erhöhen wegen superlinearer Skalierung das gesamte Innovationspotenzial.,draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
Share Small City,constant,Dmnl,0.28,Anteil der urbanen Bevölkerung in kleinen Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.,11_Innovation_and_City_Size,,Equivalent Number of Small Cities,0,1,high,Verteilt einen Anteil der urbanen Gesamtbevölkerung auf kleine Städte.,Der Anteil fliesst in die Berechnung der äquivalenten Anzahl Städte dieser Klasse ein.,Die Stadtgrössenverteilung wird stark vereinfacht in vier Klassen abgebildet; die Summe der Anteile sollte 1 ergeben.,OECD city-size classes: https://www.oecd.org/en/data/indicators/urban-population-by-city-size.html,Aktueller/empfohlener POC-Wert: 0.28. Die 0.28 ist eine POC-Näherung. Sie ist nicht exakt direkt belegt; final sollte der Anteil aus OECD/FUA-Daten nach eurer Klassendefinition berechnet werden.,Höhere Anteile grosser und sehr grosser Städte erhöhen wegen superlinearer Skalierung das gesamte Innovationspotenzial.,draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
Share very Large City,constant,Dmnl,0.26,Anteil der urbanen Bevölkerung in sehr grossen Städten. Der Wert beschreibt eine vereinfachte Stadtgrössenverteilung und beeinflusst das modellierte Innovationspotenzial.,11_Innovation_and_City_Size,,Equivalent Number of Very Large Cities,0,1,high,Verteilt einen Anteil der urbanen Gesamtbevölkerung auf sehr grosse Städte.,Der Anteil fliesst in die Berechnung der äquivalenten Anzahl Städte dieser Klasse ein.,Die Stadtgrössenverteilung wird stark vereinfacht in vier Klassen abgebildet; die Summe der Anteile sollte 1 ergeben.,OECD city-size classes: https://www.oecd.org/en/data/indicators/urban-population-by-city-size.html,Aktueller/empfohlener POC-Wert: 0.26. Die 0.26 ist eine POC-Näherung. Die offene grosse Stadtklasse sollte später mit echten FUA-Daten kalibriert werden.,Höhere Anteile grosser und sehr grosser Städte erhöhen wegen superlinearer Skalierung das gesamte Innovationspotenzial.,draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
Urban Population Density,constant,Dmnl,1500,Angenommene urbane Bevölkerungsdichte. Der Wert kann an der EU-OECD-Definition eines Urban Centre mit 1'500 Personen pro km2 orientiert werden.,11_Innovation_and_City_Size,,Urban Population Total,0,1,high,Beschreibt die angenommene urbane Bevölkerungsdichte.,Dient als Dichteannahme zur Verbindung von Bevölkerung und urbaner Fläche.,"1500 Person/km2 kann als EU-OECD-Urban-Centre-Schwelle interpretiert werden, ist aber eher Mindestkriterium als durchschnittliche Stadtverdichtung.",EU-OECD FUA/urban-centre definition: https://www.oecd.org/content/dam/oecd/en/publications/reports/2019/12/the-eu-oecd-definition-of-a-functional-urban-area_cef4a128/d58cb34d-en.pdf,"Wert 1500 ist belegbar als Urban-Centre-Schwelle; Einheit sollte Person/km2 statt Dmnl sein. Wenn Land per Capita 0.0003 bleibt, müsste Dichte konsistent 3333 Person/km2 sein.",Höhere Dichte senkt rechnerischen Flächenbedarf pro Person.,draft,low,technisch extrahiert; vermutlich nur bei Bedarf vertiefen,False,False
Urban Scaling Exponent Large,constant,Dmnl,1.15,"Urban-Scaling-Exponent der grossen Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt.",11_Innovation_and_City_Size,,Innovation Large,0,1,high,"Steuert, wie stark Innovation mit Stadtgrösse skaliert.",Der Exponent wird in der Potenzfunktion der Urban-Scaling-Logik verwendet.,"Innovation, Patente und ähnliche sozioökonomische Grössen skalieren typischerweise superlinear mit Stadtgrösse. Ein einheitlicher Wert von 1.15 ist als Basisannahme plausibel.",Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlen: 1.15; Sensitivität: 1.10 bis 1.20. Ein Wert von 1.6 wäre nicht durch die Standard-Urban-Scaling-Literatur gedeckt und sollte nur als extremes Szenario verwendet werden.,"Werte über 1 bedeuten zunehmende Skalenerträge durch Agglomeration; je höher der Exponent, desto stärker dominiert die grosse Stadtklasse.",draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
Urban Scaling Exponent Medium,constant,Dmnl,1.15,"Urban-Scaling-Exponent der mittleren Stadtklasse. Werte über 1 bedeuten, dass Innovation überproportional mit der Stadtgrösse steigt.",11_Innovation_and_City_Size,,Innovation Medium,0,1,high,"Steuert, wie stark Innovation mit Stadtgrösse skaliert.",Der Exponent wird in der Potenzfunktion der Urban-Scaling-Logik verwendet.,"Innovation, Patente und ähnliche sozioökonomische Grössen skalieren typischerweise superlinear mit Stadtgrösse. Ein einheitlicher Wert von 1.15 ist als Basisannahme plausibel.",Bettencourt et al. (2007): https://www.pnas.org/doi/10.1073/pnas.0610172104; Bettencourt et al. (2010): https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013541,Empfohlen: 1.15; Sensitivität: 1.10 bis 1.20. Ein Wert von 1.6 wäre nicht durch die Standard-Urban-Scaling-Literatur gedeckt und sollte nur als extremes Szenario verwendet werden.,"Werte über 1 bedeuten zunehmende Skalenerträge durch Agglomeration; je höher der Exponent, desto stärker dominiert die grosse Stadtklasse.",draft,medium,Parameter/Konstante braucht Quelle oder Wertbegruendung,True,True
