source,target
Mean Urban Rent,Current Fringe Rent Gap
Mean Urban Rent,Land Demand per Household q
Mean Urban Rent,Mean Urban Rent Change
Mean Urban Rent Change,Mean Urban Rent
Minimum Income Growth Rate,Net Income Growth Rate
Net Income Growth Rate,Income per Capita Growth
Number of Households,Current Urban Land per Household
Number of Households,Household Clearing Gap
Number of Households,Household Scaling Factor
Number of Households,Reference Initial Number of Households
Number of Households,Urban Land Required for Households
Other Consumption Per Household z,Reference Other Consumption Per Household
Other Consumption Per Household z,Relative Other Consumption per Household
Other Consumption Per Household z,Urban Fringe Radius
Other Consumption Per Household z,Urban Rent at Current Fringe
Other Consumption Per Household z,Urban Rent at Fringe
Population kcal demand,Import Dependence
Population kcal demand,Populational Need of Kcal in Km2
Populational Need of Kcal in Km2,Aggricultural Land Requirement
Populational Need of Kcal in Km2,Agricultural Scarcity Index
Reference Agricultural Scarcity Index,Relative Agricultural Scarcity
Reference Initial Desired Urban Land,Urban Aggregate Scale Factor
Reference Initial Land Demand per Capita,Reference Initial Land Demand per Household
Reference Initial Land Demand per Household,Initial Mean Urban Rent
Reference Initial Land Demand per Household,Land Tightness Index
Reference Initial Land Demand per Household,Relative Land Demand per Household
Reference Initial Number of Households,Household Scaling Factor
Reference Initial Urban Land,Urban Aggregate Scale Factor
Reference Initial Urban Land,Urban Land Index
Reference Other Consumption Per Household,Relative Other Consumption per Household
Reference Total Innovation Potential,Innovation Index
Relative Agricultural Scarcity,Desired Agricultural Rent
Relative Land Demand per Household,Cobb Douglas Utility Index
Relative Other Consumption per Household,Cobb Douglas Utility Index
Representative Large City Size,Equivalent Number of Large Cities
Representative Large City Size,Innovation Large
Representative Medium City Size,Equivalent Number of Medium Cities
Representative Medium City Size,Innovation Medium
Representative Small City Size,Equivalent Number of Small Cities
Representative Small City Size,Innovation Small
Representative Very Large City Size,Equivalent Number of Very Large Cities
Representative Very Large City Size,Innovation very Large
Share Large City,Equivalent Number of Large Cities
Share Medium City,Equivalent Number of Medium Cities
Share Small City,Equivalent Number of Small Cities
Share very Large City,Equivalent Number of Very Large Cities
Soil Protection,Soil Protection Effect
Soil Protection Factor,Soil Protection
Spatial Planing Factor,Spatial Planning
Spatial Planning,Soil Protection
TIME STEP,SAVEPER
Time for Lookup,Expected Population
Total Urban Innovation Potential,Innovation Index
Total Urban Innovation Potential,Reference Total Innovation Potential
Transport Cost Adjustment Time,Transport Cost per km Change
Transport Cost per Household,Disposable Income after Transport
Transport Cost per km,Transport Cost per km Change
Transport Cost per km,Transport Cost per km per Capita
Transport Cost per km Change,Transport Cost per km
Transport Cost per km per Capita,Transport Cost per km per Household
Transport Cost per km per Household,Transport Cost per Household
Transport Cost per km per Household,Urban Fringe Radius
Transport Cost per km per Household,Urban Rent at Current Fringe
Transport Cost per km per Household,Urban Rent at Fringe
Urban Aggregate Scale Factor,Desired Urban Land Total
Urban Expansion Adjustment Time,AMM Consistent Economic Land Conversion Demand
Urban Fringe Radius,Desired Urban Land
Urban Fringe Radius,Urban Rent at Fringe
Urban Land,Current Urban Land per Household
Urban Land,Current Urban Radius
Urban Land,Household Capacity of Current Urban Land
Urban Land,Reference Initial Urban Land
Urban Land,Urban Land Gap
Urban Land,Urban Land Index
Urban Land,Urban Population Total
Urban Land Gap,AMM Consistent Economic Land Conversion Demand
Urban Land Index,Spatial Planning
Urban Population Density,Urban Population Total
Urban Population Total,Equivalent Number of Large Cities
Urban Population Total,Equivalent Number of Medium Cities
Urban Population Total,Equivalent Number of Small Cities
Urban Population Total,Equivalent Number of Very Large Cities
Urban Productivity Effect,Net Income Growth Rate
Urban Productivity Elasticity,Urban Productivity Effect
Urban Rent Adjustment Time,Mean Urban Rent Change
Urban Rent Sensitivity to Land Tightness,Desired Mean Urban Rent
Urban Rent at Fringe,AMM Fringe Condition Gap
Urban Scaling Exponent Large,Innovation Large
Urban Scaling Exponent Medium,Innovation Medium
Urban Scaling Exponent Small,Innovation Small
Urban Scaling Exponent very Large,Innovation very Large
Year Unit,Time for Lookup
Yield,Food Production
Yield,Populational Need of Kcal in Km2
