Real Name,Py Name,Subscripts,Units,Limits,Type,Subtype,Comment
Commuting Share of Employed Persons,commuting_share_of_employed_persons,,Dmnl,"(nan, nan)",Constant,Normal,"Commuting Share of Employed Persons Anteil der erwerbstätigen Personen, die regelmässig pendeln. Dieser Wert reduziert die erwerbstätigen Personen auf die tatsächlichen Pendler pro Haushalt."
Current Fringe Rent Gap,current_fringe_rent_gap,,EUR/km2,"(nan, nan)",Auxiliary,Normal,"Current Fringe Rent Gap Positive Differenz zwischen urbaner Miete und landwirtschaftlicher Rente. Wenn Mean Urban Rent höher ist als Agricultural Rent, entsteht ökonomischer Druck zur Umwandlung von landwirtschaftlicher in urbane Fläche. Wenn Agricultural Rent höher ist, wird der Gap auf 0 gesetzt."
Current Urban Land per Household,current_urban_land_per_household,,km2/Household,"(nan, nan)",Auxiliary,Normal,"Current Urban Land per Household Aktuell verfügbare urbane Fläche pro Haushalt. Diese Variable zeigt, wie viel urbane Fläche im Durchschnitt auf einen Haushalt entfällt. Sie ist der zentrale Input für den Land Tightness Index."
Current Urban Radius,current_urban_radius,,km,"(nan, nan)",Auxiliary,Normal,Aktueller Radius der urbanen Fläche. Die urbane Fläche wird vereinfacht als kreisförmig interpretiert.
Desired Agricultural Rent,desired_agricultural_rent,,EUR/km2,"(nan, nan)",Auxiliary,Normal,"Desired Agricultural Rent Gewünschte landwirtschaftliche Bodenrente. Sie steigt, wenn Relative Agricultural Scarcity über 1 liegt. Die Sensitivität bestimmt, wie stark die Rente auf Knappheit reagiert."
Desired Mean Household Size,desired_mean_household_size,,Person/Household,"(nan, nan)",Auxiliary,Normal,Desired Mean Household Size Gewünschte bzw. angestrebte Haushaltsgrösse. In dieser Modellversion entspricht sie direkt dem langfristigen Zielwert Long Run Mean Household Size.
Desired Mean Urban Rent,desired_mean_urban_rent,,EUR/km2,"(nan, nan)",Auxiliary,Normal,"Desired Mean Urban Rent Gewünschte mittlere urbane Miete. Wenn Land Tightness Index über 1 liegt, steigt der gewünschte Mietwert. Wenn der Index unter 1 liegt, sinkt der gewünschte Mietwert. Die Sensitivität bestimmt, wie stark die Miete auf Knappheit reagiert."
Desired Transport Cost per km,desired_transport_cost_per_km,,EUR/km,"(nan, nan)",Auxiliary,Normal,Desired Transport Cost per km Gewünschter Zielwert der Transportkosten pro Kilometer. In dieser Modellversion entspricht er direkt dem langfristigen Transportkostenwert.
Desired Urban Land,desired_urban_land,,km2,"(nan, nan)",Auxiliary,Normal,Gewünschte urbane Fläche der synthetischen AMM-Stadt. Sie wird aus dem theoretischen Urban Fringe Radius berechnet.
Desired Urban Land Total,desired_urban_land_total,,km2,"(nan, nan)",Auxiliary,Normal,Desired Urban Land Total Gesamte gewünschte urbane Fläche. Die Variable ergibt sich aus der gewünschten Landfläche pro Haushalt multipliziert mit der Anzahl Haushalte. Sie ist der zentrale Nachfrageinput für die spätere Urban-Land-Conversion-View.
Disposable Income after Transport,disposable_income_after_transport,,EUR/Household,"(nan, nan)",Auxiliary,Normal,Disposable Income after Transport Verfügbares Haushaltseinkommen nach Abzug der Transportkosten. Die MAX-Funktion verhindert negative Werte. Diese Variable wird später in der AMM-Budgetlogik auf Wohnen und sonstigen Konsum aufgeteilt.
Economic Pressure,economic_pressure,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Economic Pressure Dimensionsloser Druckfaktor aus Import Dependence. Je stärker die Unterdeckung der Nahrungsmittelproduktion ist, desto höher wird dieser Druckfaktor. Er kann später in der Land-Conversion-Logik verwendet werden."
Employment Share of Total Population,employment_share_of_total_population,,Dmnl,"(nan, nan)",Constant,Normal,"Employment Share of Total Population Anteil der Gesamtbevölkerung, der erwerbstätig ist. Dieser Anteil wird verwendet, um aus der Haushaltsgrösse die potenzielle Anzahl erwerbstätiger Personen pro Haushalt abzuleiten."
Equivalent Number of Large Cities,equivalent_number_of_large_cities,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse."
Equivalent Number of Medium Cities,equivalent_number_of_medium_cities,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse."
Equivalent Number of Small Cities,equivalent_number_of_small_cities,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse."
Equivalent Number of Very Large Cities,equivalent_number_of_very_large_cities,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Modellierte äquivalente Anzahl kleiner Städte. Die urbane Bevölkerung dieser Grössenklasse wird durch eine repräsentative Stadtgrösse geteilt. Es handelt sich nicht um eine echte gezählte Anzahl Städte, sondern um eine vereinfachte Modellgrösse."
Expected Population,expected_population,,Person,"(nan, nan)",Auxiliary,with Lookup,"Expected Population Exogener Bevölkerungspfad des Modells. Die Bevölkerung wird nicht mehr endogen durch Geburten, Todesfälle und Migration berechnet. Diese Lookup-Tabelle gibt die erwartete Bevölkerung für den Simulationszeitraum vor."
FINAL TIME,final_time,,Year,"(nan, nan)",Constant,Normal,The final time for the simulation.
Food Production,food_production,,kcal/Year,"(nan, nan)",Auxiliary,Normal,Food Production Jährliche Nahrungsmittelproduktion. Die Variable ergibt sich aus dem landwirtschaftlichen Ertrag pro km2 multipliziert mit der verfügbaren Aggricultural Land.
Historical Urban Land,historical_urban_land,,km2,"(nan, nan)",Auxiliary,with Lookup,
Household Capacity of Current Urban Land,household_capacity_of_current_urban_land,,Household,"(nan, nan)",Auxiliary,Normal,"Anzahl Haushalte, die bei aktueller Urban Land und aktuellem Land Demand per Household theoretisch Platz hätten."
Household Clearing Gap,household_clearing_gap,,Household,"(nan, nan)",Auxiliary,Normal,Positive Differenz zwischen benötigter Haushaltszahl und der Kapazität der aktuellen urbanen Fläche. Negative Werte werden auf null gesetzt.
Household Scaling Factor,household_scaling_factor,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Relativer Skalierungsfaktor der Haushaltszahl. Er sorgt dafür, dass die gewünschte urbane Fläche mit der Anzahl Haushalte wächst."
Household Size Adjustment Time,household_size_adjustment_time,,Year,"(nan, nan)",Constant,Normal,"Household Size Adjustment Time Anpassungszeit der mittleren Haushaltsgrösse. Je höher dieser Wert ist, desto langsamer bewegt sich Mean Household Size in Richtung des langfristigen Zielwertes."
Housing Land Expenditure,housing_land_expenditure,,EUR/Household,"(nan, nan)",Auxiliary,Normal,"Housing Land Expenditure Wohn- bzw. Landbudget eines durchschnittlichen Haushalts. Die Variable ergibt sich aus dem verfügbaren Haushaltseinkommen multipliziert mit dem Housing Preference Share Alpha. Sie bestimmt, wie viel ein Haushalt für urbane Landnutzung ausgeben kann."
Housing Preference Share Alpha,housing_preference_share_alpha,,Dmnl,"(nan, nan)",Constant,Normal,"Housing Preference Share Alpha Anteil des verfügbaren Haushaltseinkommens, der für Wohnen bzw. urbane Landnutzung verwendet wird. Ein Wert von 0.15 bedeutet, dass 15 Prozent des verfügbaren Einkommens für Wohn- und Landkosten eingesetzt werden."
INITIAL TIME,initial_time,,Year,"(nan, nan)",Constant,Normal,The initial time for the simulation.
Import Dependence,import_dependence,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Import Dependence Dimensionsloser Indikator für die Abhängigkeit von externer Nahrungsmittelversorgung. Ein Wert von 1 bedeutet, dass die modellierte Food Production den Kalorienbedarf deckt. Werte über 1 zeigen eine Unterdeckung."
Income per Capita,income_per_capita,,EUR/Person,"(nan, nan)",Stateful,Integ,Income per Capita Stock für das durchschnittliche Einkommen pro Person. Die Variable wächst über Income per Capita Growth und wird durch Initial Income per Capita initialisiert. Sie bildet die Grundlage für das Haushaltseinkommen.
Income per Capita Growth,income_per_capita_growth,,(EUR/Person)/Year,"(nan, nan)",Auxiliary,Normal,Income per Capita Growth Wachstumsrate des Einkommens pro Person. Sie ergibt sich aus dem aktuellen Einkommen pro Person multipliziert mit der effektiven jährlichen Einkommenswachstumsrate.
Initial Aggricultural Land,initial_aggricultural_land,,km2,"(nan, nan)",Constant,Normal,"Initial Aggricultural Land Startwert der landwirtschaftlichen Fläche zu Beginn der Simulation. Dieser Wert initialisiert den Stock Aggricultural Land. Die Fläche sinkt, wenn Land in urbane Nutzung umgewandelt wird."
Initial Agricultural Rent,initial_agricultural_rent,,EUR/km2,"(nan, nan)",Constant,Normal,Initial Agricultural Rent Startwert der landwirtschaftlichen Bodenrente. Dieser Wert initialisiert den Stock Agricultural Rent.
Initial Income per Capita,initial_income_per_capita,,EUR/Person,"(nan, nan)",Constant,Normal,Initial Income per Capita Startwert des durchschnittlichen Einkommens pro Person. Dieser Wert initialisiert den Stock Income per Capita zu Beginn der Simulation.
Initial Mean Household Size,initial_mean_household_size,,Person/Household,"(nan, nan)",Constant,Normal,Initial Mean Household Size Startwert der durchschnittlichen Haushaltsgrösse. Dieser Wert initialisiert den Stock Mean Household Size zu Beginn der Simulation.
Initial Mean Urban Rent,initial_mean_urban_rent,,EUR/km2,"(nan, nan)",Stateful,Initial,Initial Mean Urban Rent Startwert der mittleren urbanen Miete. Der Wert wird aus dem anfänglichen Wohnbudget pro Haushalt und der anfänglichen Referenz-Landnachfrage pro Haushalt berechnet.
Initial Transport Cost per km,initial_transport_cost_per_km,,EUR/km,"(nan, nan)",Constant,Normal,Initial Transport Cost per km Startwert der Transportkosten pro Kilometer. Dieser Wert initialisiert den Stock Transport Cost per km zu Beginn der Simulation.
Initial Urban Land,initial_urban_land,,km2,"(nan, nan)",Constant,Normal,Initial Urban Land Startwert der urbanen Fläche zu Beginn der Simulation. Dieser Wert initialisiert den Stock Urban Land.
Innovation Index,innovation_index,,Dmnl,"(nan, nan)",Auxiliary,Normal,Relativer Innovationsindex. Er vergleicht das aktuelle Total Urban Innovation Potential mit dem initialen Referenzwert.
Innovation Large,innovation_large,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Innovationsbeitrag der grossen Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert."
Innovation Medium,innovation_medium,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Innovationsbeitrag der mittleren Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert."
Innovation Small,innovation_small,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Innovationsbeitrag der kleinen Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert."
Innovation very Large,innovation_very_large,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Innovationsbeitrag der sehr grossen Stadtklasse. Der Wert folgt der Urban-Scaling-Logik, bei der Innovation überproportional mit der Stadtgrösse skaliert."
Kcal per km2 avg per t,kcal_per_km2_avg_per_t,,kcal/km2/Year,"(nan, nan)",Constant,Normal,"Kcal per km^2 avg per t Basis-Ertrag landwirtschaftlicher Fläche. Der Wert gibt an, wie viele Kilokalorien pro km2 und Jahr durch landwirtschaftliche Produktion erzeugt werden können. In dieser Modellversion wird dieser Wert vorerst ohne Innovationseffekt verwendet."
Land Conversion Pressure Factors,land_conversion_pressure_factors,,km2/Year,"(nan, nan)",Auxiliary,Normal,Land Conversion Pressure Factors Gesamter modellierter Umwandlungsdruck ohne Soil Protection. Die AMM-basierte Umwandlungsnachfrage wird durch den Rent Gap Pressure Factor verstärkt.
Land Conversion Rate,land_conversion_rate,,km2/Year,"(nan, nan)",Auxiliary,Normal,"Land Conversion Rate Temporärer Platzhalter für die Landumwandlungsrate. In dieser View wird nur gezeigt, wie die Rate Urban Land erhöht und Aggricultural Land reduziert. Die detaillierte Berechnung von Land Conversion Rate wird später in der Urban-Land-Conversion-View modelliert."
Land Conversion Time Minimum,land_conversion_time_minimum,,Year,"(nan, nan)",Constant,Normal,Minimal zulässige Anpassungszeit der Landumwandlung. Der Parameter verhindert unrealistisch schnelle oder numerisch instabile Landkonversion.
Land Demand per Household q,land_demand_per_household_q,,km2/Household,"(nan, nan)",Auxiliary,Normal,"Land Demand per Household q Gewünschte urbane Landfläche pro Haushalt. Die Variable ergibt sich aus dem Wohnbudget pro Haushalt geteilt durch die mittlere urbane Miete pro km2. Je höher das Wohnbudget oder je tiefer die Miete, desto höher ist die Landnachfrage pro Haushalt."
Land Tightness Index,land_tightness_index,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Land Tightness Index Dimensionsloser Knappheitsindex für urbane Fläche. Ein Wert von 1 bedeutet, dass die aktuelle urbane Fläche pro Haushalt dem Referenzwert entspricht. Werte über 1 bedeuten höhere Knappheit und erzeugen Druck auf die urbane Miete."
Land per Capita,land_per_capita,,km2/Person,"(nan, nan)",Constant,Normal,Angenommener urbaner Flächenbedarf pro Person. Der Wert sollte konsistent mit der angenommenen Urban Population Density gewählt werden.
Land per Household,land_per_household,,km2/Household,"(nan, nan)",Auxiliary,Normal,Referenzwert für Landbedarf pro Haushalt. Er ergibt sich aus Land per Capita multipliziert mit Mean Household Size.
Long Run Mean Household Size,long_run_mean_household_size,,Person/Household,"(nan, nan)",Constant,Normal,"Long Run Mean Household Size Langfristig angenommene durchschnittliche Haushaltsgrösse. Dieser Wert dient als Zielwert, dem sich Mean Household Size über die Zeit annähert."
Long Run Transport Cost per km,long_run_transport_cost_per_km,,EUR/km,"(nan, nan)",Constant,Normal,Long Run Transport Cost per km Langfristig angenommene Transportkosten pro Kilometer. Dieser Wert dient als Zielwert für Transport Cost per km.
Max Ceiling Soil Protection,max_ceiling_soil_protection,,Dmnl,"(nan, nan)",Constant,Normal,"Max Ceiling Soil Protection Maximale Reduktion der Landumwandlung durch Soil Protection. Ein Wert von 0.8 bedeutet, dass die Schutzlogik die spätere Land Conversion Rate maximal um 80 Prozent reduzieren kann."
Max Feasible Conversion,max_feasible_conversion,,km2/Year,"(nan, nan)",Auxiliary,Normal,"Max Feasible Conversion Maximal mögliche Landumwandlung pro Zeiteinheit. Diese Variable verhindert, dass mehr landwirtschaftliche Fläche umgewandelt wird, als im Modell verfügbar ist."
Maximum Income Growth Rate,maximum_income_growth_rate,,Dmnl/Year,"(nan, nan)",Constant,Normal,"Maximum Income Growth Rate Obere Grenze für das jährliche Einkommenswachstum. Sie verhindert, dass das Einkommen unrealistisch stark wächst."
Mean Annual Housing Cost per Capita,mean_annual_housing_cost_per_capita,,EUR/Person/Year,"(nan, nan)",Constant,Normal,Durchschnittliche jährliche Wohnkosten pro Person. Der Monatswert wird auf ein Jahr hochgerechnet.
Mean Annual Housing Cost per Household,mean_annual_housing_cost_per_household,,EUR/Household/Year,"(nan, nan)",Auxiliary,Normal,Durchschnittliche jährliche Wohnkosten pro Haushalt. Sie ergeben sich aus den jährlichen Wohnkosten pro Person multipliziert mit der Haushaltsgrösse.
Mean Household Income,mean_household_income,,EUR/Household,"(nan, nan)",Auxiliary,Normal,Mean Household Income Berechnetes durchschnittliches Haushaltseinkommen. Es ergibt sich aus Income per Capita multipliziert mit Mean Household Size. Diese Variable wird später in der AMM-Budgetlogik verwendet.
Mean Household Size,mean_household_size,,Person/Household,"(nan, nan)",Stateful,Integ,"Mean Household Size Shadow Variable aus View 01. Sie wird hier verwendet, um die Anzahl Pendler pro Haushalt zu berechnen."
Mean Household Size Change,mean_household_size_change,,Person/Household/Year,"(nan, nan)",Auxiliary,Normal,"Mean Household Size Change Anpassungsrate der mittleren Haushaltsgrösse. Sie beschreibt, wie schnell sich Mean Household Size dem gewünschten langfristigen Wert annähert."
Mean Urban Rent,mean_urban_rent,,EUR/km2,"(nan, nan)",Stateful,Integ,"Mean Urban Rent Stock für die mittlere urbane Miete. Die Variable passt sich über Mean Urban Rent Change schrittweise an Desired Mean Urban Rent an. Mean Urban Rent wird später in der AMM-Housing-Demand-View verwendet, um die Landnachfrage pro Haushalt zu berechnen."
Mean Urban Rent Change,mean_urban_rent_change,,(EUR/km2)/Year,"(nan, nan)",Auxiliary,Normal,"Mean Urban Rent Change Anpassungsrate der mittleren urbanen Miete. Sie beschreibt, wie schnell Mean Urban Rent auf den gewünschten Mietwert reagiert."
Minimum Income Growth Rate,minimum_income_growth_rate,,Dmnl/Year,"(nan, nan)",Constant,Normal,"Minimum Income Growth Rate Untere Grenze für das jährliche Einkommenswachstum. Sie erlaubt negatives Wachstum, begrenzt aber den maximalen Rückgang."
Net Income Growth Rate,net_income_growth_rate,,Dmnl/Year,"(nan, nan)",Auxiliary,Normal,Net Income Growth Rate Effektive jährliche Einkommenswachstumsrate. Die Variable kombiniert die Basiswachstumsrate mit dem Urban Productivity Effect. Durch MIN und MAX wird die Wachstumsrate nach oben und unten begrenzt.
Number of Households,number_of_households,,Household,"(nan, nan)",Auxiliary,Normal,"Die Variable verbindet den exogenen Bevölkerungspfad mit der Nachfrage nach Wohnfläche und urbanem Land. Je höher die Bevölkerung oder je kleiner die Haushaltsgrösse, desto mehr Haushalte entstehen."
Other Consumption Per Household z,other_consumption_per_household_z,,EUR/Household,"(nan, nan)",Auxiliary,Normal,"Other Consumption Per Household z Teil des verfügbaren Haushaltseinkommens, der nicht für Wohnen verwendet wird. Diese Variable repräsentiert den sonstigen Konsum im AMM-Budget und wird später für den Cobb-Douglas Utility Index verwendet."
Population kcal demand,population_kcal_demand,,kcal/Year,"(nan, nan)",Auxiliary,Normal,Population kcal demand Gesamter jährlicher Kalorienbedarf der Bevölkerung. Die Variable ergibt sich aus dem jährlichen Kalorienbedarf pro Person multipliziert mit Expected Population.
Populational Need of Kcal in Km2,populational_need_of_kcal_in_km2,,km2,"(nan, nan)",Auxiliary,Normal,"Target Value: Populational Need of Kcal in Km2 Benötigte landwirtschaftliche Fläche, um den jährlichen Kalorienbedarf der Bevölkerung zu decken. Die Variable ergibt sich aus dem gesamten Kalorienbedarf geteilt durch den Ertrag pro km2."
Reference Agricultural Scarcity Index,reference_agricultural_scarcity_index,,Dmnl,"(nan, nan)",Stateful,Initial,"Reference Agricultural Scarcity Index Referenzwert des Agricultural Scarcity Index zu Beginn der Simulation. Dieser Wert dient dazu, spätere Knappheit relativ zum Startzustand zu interpretieren."
Reference Initial Desired Urban Land,reference_initial_desired_urban_land,,km2,"(nan, nan)",Stateful,Initial,Initialer Referenzwert der Desired Urban Land. Dieser Wert wird für die Skalierung der synthetischen AMM-Stadt verwendet.
Reference Initial Land Demand per Capita,reference_initial_land_demand_per_capita,,km2/Person,"(nan, nan)",Constant,Normal,Reference Initial Land Demand per Capita Referenzwert für die urbane Landnachfrage pro Person im Startzustand. 0.000498 km2 entspricht 498 m2 pro Person. Dieser Wert dient zur Kalibrierung der anfänglichen Landnachfrage.
Reference Initial Land Demand per Household,reference_initial_land_demand_per_household,,km2/Household,"(nan, nan)",Stateful,Initial,Reference Initial Land Demand per Household Referenzwert der urbanen Landnachfrage pro Haushalt zu Beginn der Simulation. Dieser Wert dient als Vergleichswert für die aktuell verfügbare urbane Fläche pro Haushalt.
Reference Initial Number of Households,reference_initial_number_of_households,,Household,"(nan, nan)",Stateful,Initial,"Initialer Referenzwert der Anzahl Haushalte. Er wird verwendet, um die Entwicklung der Haushaltszahl relativ zum Startjahr abzubilden."
Reference Initial Urban Land,reference_initial_urban_land,,km2,"(nan, nan)",Stateful,Initial,"Reference Initial Urban Land Referenzwert der urbanen Fläche zu Beginn der Simulation. Dieser Wert wird verwendet, um relative Veränderungen der urbanen Fläche zu berechnen und spätere Skalierungsfaktoren zu bilden."
Reference Other Consumption Per Household,reference_other_consumption_per_household,,EUR/Household,"(nan, nan)",Stateful,Initial,"Reference Other Consumption Per Household Referenzwert des sonstigen Konsums pro Haushalt zu Beginn der Simulation. Dieser Wert wird verwendet, um den aktuellen Konsum relativ zum Startzustand zu messen."
Reference Total Innovation Potential,reference_total_innovation_potential,,Dmnl,"(nan, nan)",Stateful,Initial,Referenzwert des gesamten Innovationspotenzials zu Beginn der Simulation. Dieser Wert dient zur Normalisierung des späteren Innovationsindex.
Relative Agricultural Scarcity,relative_agricultural_scarcity,,Dmnl,"(nan, nan)",Auxiliary,Normal,Relative Agricultural Scarcity Relative landwirtschaftliche Knappheit gegenüber dem Startzustand. Ein Wert von 1 entspricht der anfänglichen Knappheit. Werte über 1 zeigen zunehmende Knappheit.
Relative Land Demand per Household,relative_land_demand_per_household,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Relative Land Demand per Household Dimensionsloser Index der Landnachfrage pro Haushalt. Ein Wert von 1 bedeutet, dass die Landnachfrage pro Haushalt dem Startwert entspricht. Werte über 1 zeigen eine höhere, Werte unter 1 eine tiefere Landnachfrage."
Relative Other Consumption per Household,relative_other_consumption_per_household,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Relative Other Consumption per Household Dimensionsloser Index des sonstigen Konsums pro Haushalt. Ein Wert von 1 bedeutet, dass der sonstige Konsum dem Startwert entspricht. Werte über 1 zeigen höheren Konsum, Werte unter 1 tieferen Konsum."
Rent Gap Pressure Factor,rent_gap_pressure_factor,,Dmnl,"(nan, nan)",Auxiliary,Normal,"Rent Gap Pressure Factor Dimensionsloser Druckfaktor aus der Rentendifferenz. Wenn die urbane Miete deutlich über der landwirtschaftlichen Rente liegt, steigt der Druck zur Landumwandlung."
Representative Large City Size,representative_large_city_size,,Dmnl,"(nan, nan)",Constant,Normal,Repräsentative Stadtgrösse der grossen Stadtklasse. Der Wert wird zur Approximation der Anzahl grosser Städte und ihres Innovationsbeitrags verwendet.
Representative Medium City Size,representative_medium_city_size,,Dmnl,"(nan, nan)",Constant,Normal,Repräsentative Stadtgrösse der mittleren Stadtklasse. Der Wert wird zur Approximation der Anzahl mittlerer Städte und ihres Innovationsbeitrags verwendet.
Representative Small City Size,representative_small_city_size,,Dmnl,"(nan, nan)",Constant,Normal,Repräsentative Stadtgrösse der kleinen Stadtklasse. Der Wert wird zur Approximation der Anzahl kleiner Städte und ihres Innovationsbeitrags verwendet.
Representative Very Large City Size,representative_very_large_city_size,,Dmnl,"(nan, nan)",Constant,Normal,Repräsentative Stadtgrösse der sehr grossen Stadtklasse. Der Wert wird zur Approximation der Anzahl sehr grosser Städte und ihres Innovationsbeitrags verwendet.
SAVEPER,saveper,,Year,"(0.0, nan)",Auxiliary,Normal,The frequency with which output is stored.
